RMW2 sequence data generated by RMW2TXT

code: Pegmode
RMW2 format specs: Accuracy, Forple, Pegmode

adrs|raw data|| Description
c6  |83      || G#2 for 16 frames
c7  |f3 3    || Octave 3 
c8  |83      || G#3 for 16 frames
c9  |f2 2    || Octave 2 
ca  |63      || F#2 for 16 frames
cb  |f3 3    || Octave 3 
cc  |63      || F#3 for 16 frames
cd  |f2 2    || Octave 2 
ce  |63      || F#2 for 16 frames
cf  |f3 3    || Octave 3 
d0  |64      || F#3 for 8 frames
d1  |f2 2    || Octave 2 
d2  |63      || F#2 for 16 frames
d3  |64      || F#2 for 8 frames
d4  |f3 3    || Octave 3 
d5  |63      || F#3 for 16 frames
d6  |f2 2    || Octave 2 
d7  |63      || F#2 for 16 frames
d8  |f3 3    || Octave 3 
d9  |63      || F#3 for 16 frames
da  |c9      || Command return from subroutine
db  |f2 2    || Octave 2 
dc  |83      || G#2 for 16 frames
dd  |f3 3    || Octave 3 
de  |83      || G#3 for 16 frames
df  |f2 2    || Octave 2 
e0  |83      || G#2 for 16 frames
e1  |f3 3    || Octave 3 
e2  |84      || G#3 for 8 frames
e3  |f2 2    || Octave 2 
e4  |83      || G#2 for 16 frames
e5  |84      || G#2 for 8 frames
e6  |f3 3    || Octave 3 
e7  |83      || G#3 for 16 frames
e8  |f2 2    || Octave 2 
e9  |83      || G#2 for 16 frames
ea  |f3 3    || Octave 3 
eb  |83      || G#3 for 16 frames
ec  |c9      || Command return from subroutine
ed  |f2 2    || Octave 2 
ee  |83      || G#2 for 16 frames
ef  |f3 3    || Octave 3 
f0  |83      || G#3 for 16 frames
f1  |3       || C-3 for 16 frames
f2  |f4 4    || Octave 4 
f3  |3       || C-4 for 16 frames
f4  |f3 3    || Octave 3 
f5  |13      || C#3 for 16 frames
f6  |f4 4    || Octave 4 
f7  |13      || C#4 for 16 frames
f8  |f3 3    || Octave 3 
f9  |3       || C-3 for 16 frames
fa  |f4 4    || Octave 4 
fb  |3       || C-4 for 16 frames
fc  |c9      || Command return from subroutine
fd  |63      || F#4 for 16 frames
fe  |64      || F#4 for 8 frames
ff  |64      || F#4 for 8 frames
100 |63      || F#4 for 16 frames
101 |64      || F#4 for 8 frames
102 |64      || F#4 for 8 frames
103 |63      || F#4 for 16 frames
104 |64      || F#4 for 8 frames
105 |64      || F#4 for 8 frames
106 |64      || F#4 for 8 frames
107 |64      || F#4 for 8 frames
108 |64      || F#4 for 8 frames
109 |64      || F#4 for 8 frames
10a |c9      || Command return from subroutine
